Cell_Lat,Cell_Lon,Mes,media_focos_mes_hist
-18.8,-51.0,11,0.1818181818181818
-18.8,-50.9,1,0.0909090909090909
-18.8,-50.9,2,0.0909090909090909
-18.8,-50.9,6,0.1818181818181818
-18.8,-50.9,7,0.1818181818181818
-18.8,-50.9,8,0.1818181818181818
-18.8,-50.9,9,0.2727272727272727
-18.8,-50.9,10,0.2727272727272727
-18.8,-50.9,11,0.1818181818181818
-18.8,-50.9,12,0.0909090909090909
-18.8,-50.8,1,0.1818181818181818
-18.8,-50.8,2,0.1818181818181818
-18.8,-50.8,3,0.5454545454545454
-18.8,-50.8,4,0.3636363636363636
-18.8,-50.8,5,0.2727272727272727
-18.8,-50.8,6,0.2727272727272727
-18.8,-50.8,7,0.3636363636363636
-18.8,-50.8,8,0.2727272727272727
-18.8,-50.8,9,0.9090909090909092
-18.8,-50.8,10,0.2727272727272727
-18.8,-50.8,11,0.0909090909090909
-18.8,-50.8,12,0.0909090909090909
-18.8,-50.7,1,0.1818181818181818
-18.8,-50.7,2,0.7272727272727273
-18.8,-50.7,3,0.2727272727272727
-18.8,-50.7,4,0.1818181818181818
-18.8,-50.7,5,0.0909090909090909
-18.8,-50.7,6,0.1818181818181818
-18.8,-50.7,7,0.4545454545454545
-18.8,-50.7,8,0.3636363636363636
-18.8,-50.7,9,0.9090909090909092
-18.8,-50.7,10,0.2727272727272727
-18.8,-50.7,11,0.0909090909090909
-18.8,-50.7,12,0.2727272727272727
-18.7,-52.7,1,0.2727272727272727
-18.7,-52.7,4,0.1818181818181818
-18.7,-52.7,5,0.1818181818181818
-18.7,-52.7,6,0.0909090909090909
